LATITUDE,LONGITUDE,Aug-22,Jan-23,Nov-22,Mar-22,WELL DEPTH
17.5735,82.1922,1.42,0.021089123,1.79,5.33,0.013170941
17.5408,82.2229,1.72,0.014011267,1.77,2.49,0.01159916
16.7898,82.066,1.26,0.01025567,1.81,1.75,0.207481537
16.7921,82.0637,3.62,0.010941788,1.85,4.62,0.135507343
16.8168,82.0391,1.6,0.011627907,1.89,3.55,0.177009148
16.7811,82.082,1.58,0.01314459,1.93,1.88,0.198824614
17.3139,81.8398,1.45,0.020872454,1.97,2.75,0.005174857
17.4402,81.7805,4.69,0.058067312,4.23,6.18,0.004726392
17.3762,81.7915,2.39,0.018561317,2.29,3.02,0.004094392
17.0883,82.025,3.26,0.030983678,2.73,5.05,0.003890373
16.5879,81.8885,1.75,0.01646685,1.66,3.39,0.226557975
16.7929,81.8659,0.15,0.002094468,0.21,0.4,0.135507343
16.7029,81.8325,1.12,0.008233425,0.94,2.4,0.255489038
16.7528,81.8397,6.13,0.065000722,4.42,2.495,0.216677478
16.48,81.8446,0.9,0.015239058,1.38,2.59,0.222205123
16.3337,81.7332,1.19,0.00931677,1.33,1.15,0.246827264
17.3068,82.3655,0.44,0.00548895,0.49,2.945,0.005174857
17.2429,82.3314,2.52,0.018705763,1.66,4.74,0.002933614
17.4147,82.2803,1.65,0.016827965,1.675,1.49,0.004726392
16.7828,82.2303,1.88,0.014950166,1.69,2.45,0.198824614
16.7529,82.2289,1.33,0.010905677,1.17,1.95,0.216677478
17.2496,82.3708,2,0.010111223,0.71,2.92,0.003044113
17.2921,82.4927,1.13,0.00931677,0.74,2.4,0.003120114
17.307,82.4429,4.4,0.02722808,1.92,7.3,0.005174857
17.6183,81.9854,0.84,0.007511195,0.9,3.14,0.010642401
17.6583,81.9492,1.05,0.031128124,1.16,3.09,0.013994293
17.31537,82.103371,1.12,0.00931677,1.14,4.09,0.005196417
16.5733,80.3612,1.09,0.009100101,1.12,2.84,0.226557975
16.5329,80.3663,1.2,0.015022389,1.19,1.69,0.226557975
16.4941,80.3645,1.28,0.013289037,1.22,2.99,0.223848055
16.5661,80.2572,2.3,0.017477972,1.65,3.79,0.226557975
16.0701,80.667,1.51,0.017766864,1.57,2.98,0.274147467
16.1847,80.6595,0.67,0.006861187,1.08,1.68,0.20881561
16.5429,80.1393,2.77,0.016177958,1.18,5.41,0.226557975
15.9159,80.4824,2.5,0.019933555,2.28,2.56,0.247468158
15.9354,80.445,1.64,0.021378015,1.73,2.78,0.24712076
16.09727,80.786297,9.59,0.062761808,8.5,2.701428571,0.273273177
15.7256,80.005206,8.59,0.056261736,8.5,2.465714286,0.231504827
16.0966,80.7733,1.06,0.021811353,0.83,2.23,0.274989954
16.4922,80.0076,9.54,0.056911743,7.38,12.75,0.223848055
16.566,80.2018,2.08,0.014011267,0.9,4.38,0.226557975
16.1986,80.5257,0.77,0.004983389,1,2.01,0.219363952
16.22562,80.514537,2.99,0.01408349,1.86,3.78,0.24603248
16.06112,80.701225,2.5,0.018922432,1.73,3.15,0.268460002
16.0851,80.1765,1.4,0.008955655,4,2.21,0.274004357
16.0947,80.0909,4.99,0.020511339,1.5,5.08,0.274989954
16.1491,80.2048,5.91,0.033005922,4.46,5.8,0.243373497
16.6002,79.7259,3.75,0.029178102,2.48,4.6,0.226557975
16.3034,80.6189,0.01,0.014589051,1.943333333,4.415,0.246827264
16.26,80.4746,2.93,0.027372526,1.406666667,4.23,0.246827264
16.2632,80.4247,1.97,0.013866821,0.87,2.39,0.246827264
16.2985,80.4317,2.68,0.017261303,1.4625,3.54,0.246827264
16.3057,80.3739,1.97,0.016250181,2.055,4.69,0.246827264
16.36143,80.393346,1.28,0.026361404,2.6475,2.74,0.246827264
16.5616,79.6467,4.53,0.029683663,3.24,7.66,0.226557975
16.558,79.6325,0.33,0.001300014,2.06,0.38,0.226557975
16.2434,79.8415,2.34,0.015094612,1.95,2.53,0.246005259
16.226,79.7768,1.08,0.005200058,1.51,1.42,0.24603248
16.1492,79.7582,0.29,0.001011122,2.3,0.58,0.243373497
16.3003,80.6836,2.29,0.02267803,1.6,0.89,0.246827264
16.2866,80.7496,1.5,0.007800087,1.62,2.13,0.246827264
16.1308,80.8171,1.97,0.012061245,2.05,2.44,0.24966062
16.4979,80.1431,3.82,0.024483605,2.48,5.32,0.223848055
16.5906,79.9084,6.37,0.040733786,5.3,6.85,0.226557975
16.4676,79.4272,23,0.103928933,11.98,26.87,0.224025392
16.5598,79.3143,3.65,0.025350282,2.7,1.58,0.226557975
16.3455,80.3023,3.11,0.0210169,2.82,3.48,0.246827264
16.3067,80.0833,2.22,0.013650152,1.83,2.93,0.246827264
16.1762,80.1843,4.09,0.019427994,3.31,5.53,0.228075854
16.2418,80.0829,1.8,0.010689008,2.27,4.28,0.245676457
16.231,80.0318,2.6,0.026794742,2.16,5.93,0.247154718
16.1286,80.022,3.3,0.034955944,2.05,5.92,0.24966062
15.9624,80.6638,1.39,0.008666763,1.33,2.01,0.251190627
15.97191,80.614139,0.39,0.01314459,1.03,2.23,0.255184222
15.9932,79.6704,2.1,0.004622274,1.25,2.28,0.286796098
16.33889,80.492222,2.36,0.023689152,0.825,1.41,0.246827264
16.08508,80.328973,0.27,0.042756031,0.4,0.54,0.274004357
16.288,80.2565,1.93,0.04058934,1.1,3.82,0.246827264
16.5174,79.8311,2.94,0.0210169,1.62,3.46,0.224915583
16.5183,79.8279,1.24,0.00859454,1.18,2.24,0.224915583
16.4306,79.8322,2.9,0.021594684,2.1,3.81,0.23630776
16.5385,79.9057,1.75,0.015672396,2.05,2.66,0.226557975
16.5255,79.7987,5.34,0.026216958,1.44,6.55,0.224915583
15.9667,80.65054,0.09,0.006283403,2.04,1.9,0.252848651
16.11353,80.455848,0.81,0.018416871,2.64,6.96,0.26834034
16.06466,80.543006,3.4,0.023761375,3.24,7.14,0.274311598
16.1803,80.3318,0.93,0.008522317,1.1,1.51,0.228075854
